ward_code,ward_name,sale_year,total_sales,avg_price,med_price,total_crimes,avg_crimes_typed,usual_res_16_over,level_4_above,pc_highly_educated,total_estimated_jobs,pc_knowledge_jobs,total_schools
E05010915,Stockwood,2016,15,334896,345000,136,34,9768,2201,22.53276003276003,1275,9.8,5
E05010915,Stockwood,2017,15,312566,287500,149.8,37.45,9768,2201,22.53276003276003,1275,9.8,5
E05010915,Stockwood,2018,12,343120,305000,114.39999999999999,28.599999999999998,9768,2201,22.53276003276003,1275,9.8,5
E05010915,Stockwood,2019,12,309457,292500,132.4,33.1,9768,2201,22.53276003276003,1275,9.8,5
E05010915,Stockwood,2020,7,305528,276000,232.6,12.242105263157894,9768,2201,22.53276003276003,1275,9.8,5
E05010915,Stockwood,2021,22,372295,345000,239.1,12.58421052631579,9768,2201,22.53276003276003,1275,9.8,5
E05010915,Stockwood,2022,10,426650,445000,202.9,10.678947368421053,9768,2201,22.53276003276003,1275,9.8,5
E05010915,Stockwood,2023,5,432900,435000,269.4,14.178947368421053,9768,2201,22.53276003276003,1275,9.8,5
E05010915,Stockwood,2024,4,407500,385000,281.4,14.810526315789474,9768,2201,22.53276003276003,1275,9.8,5
E05010916,Stoke Bishop,2016,195,533438,410000,69.8,17.45,11088,4791,43.208874458874455,2260,40.27,3
E05010916,Stoke Bishop,2017,194,503368,415000,70.39999999999999,17.599999999999998,11088,4791,43.208874458874455,2260,40.27,3
E05010916,Stoke Bishop,2018,172,567230,510000,75,18.75,11088,4791,43.208874458874455,2260,40.27,3
E05010916,Stoke Bishop,2019,153,635110,420000,66.10000000000001,16.525000000000002,11088,4791,43.208874458874455,2260,40.27,3
E05010916,Stoke Bishop,2020,158,657322,562500,143.6,7.557894736842106,11088,4791,43.208874458874455,2260,40.27,3
E05010916,Stoke Bishop,2021,211,599357,492550,137.3,7.226315789473684,11088,4791,43.208874458874455,2260,40.27,3
